Month,Day,Year,Song,Artist,Time
December,22,2013,All You Took,ATB feat. Amurai,2:30am
December,22,2013,Truth (Dabin Remix),Tristam,2:22am
December,22,2013,Get Down - Original Mix,Apashe,2:11am
December,22,2013,Get Down - Original Mix,Apashe,2:10am
December,22,2013,Burn Up - Dabin Remix,Rollz feat. Katie's Ambition,12:58am
December,22,2013,Get Down - Original Mix,Apashe,12:54am
December,22,2013,Mirrormask feat. Koda & CoMa - Original Mix,Dabin,12:50am
December,22,2013,Loose Ends,Jacuzzi,12:49am
December,20,2013,Loose Ends,Jacuzzi,10:22am
December,20,2013,Days to Come,Seven Lions,10:17am
December,20,2013,Burn Up - Dabin Remix,Rollz feat. Katie's Ambition,10:13am
December,20,2013,Medicine,Daughter,10:08am
December,20,2013,Intro,The xx,10:06am
December,20,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,10:02am
December,20,2013,Truth (Dabin Remix),Tristam,9:57am
December,20,2013,Truth - Candyland Remix,Tristam,9:57am
December,20,2013,Truth - Candyland Remix,Tristam,2:09am
December,20,2013,Operate,ASTR,2:05am
December,20,2013,Memory Gospel,Moby,1:58am
December,20,2013,Wanna Fly?,DJ Encore,1:55am
December,20,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,1:51am
December,20,2013,Days to Come,Seven Lions,1:46am
December,19,2013,Trouble,Coldplay,5:54pm
December,19,2013,Truth - Candyland Remix,Tristam,5:49pm
December,19,2013,Truth (Dabin Remix),Tristam,5:40pm
December,19,2013,Trouble,Coldplay,5:40pm
December,19,2013,Trouble,Coldplay,8:26am
December,19,2013,Truth (Anna Yvette Remix),Tristam,8:22am
December,19,2013,Truth (Dabin Remix),Tristam,8:16am
December,18,2013,Hush Now (501 Remix),L.A.O.S,11:30pm
December,18,2013,Mindreader - Original Mix,Virtual Riot,11:25pm
December,18,2013,Never Gonna Die - Original Mix,Virtual Riot,11:21pm
December,18,2013,Need Your Heart (Minnesota Remix) [feat. Kai],Adventure Club,11:21pm
December,18,2013,Need Your Heart (Minnesota Remix) [feat. Kai],Adventure Club,10:42pm
December,18,2013,Youth - Adventure Club Remix,Foxes,10:38pm
December,18,2013,Lullabies,Yuna,10:34pm
December,18,2013,Curtain Call,Jacuzzi,10:31pm
December,18,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,10:27pm
December,18,2013,Truth (Anna Yvette Remix),Tristam,10:23pm
December,18,2013,Truth (Dabin Remix),Tristam,10:18pm
December,18,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,10:13pm
December,18,2013,Truth (Anna Yvette Remix),Tristam,10:09pm
December,18,2013,Truth (Dabin Remix),Tristam,10:04pm
December,18,2013,Truth (Anna Yvette Remix),Tristam,10:04pm
December,18,2013,Truth (Anna Yvette Remix),Tristam,9:12pm
December,18,2013,Truth (Dabin Remix),Tristam,8:59pm
December,18,2013,Truth - Candyland Remix,Tristam,5:34pm
December,18,2013,Truth - Candyland Remix,Tristam,5:25pm
December,18,2013,Truth - Candyland Remix,Tristam,5:09pm
December,18,2013,Never Gonna Die - Original Mix,Virtual Riot,5:09pm
December,18,2013,Never Gonna Die - Original Mix,Virtual Riot,8:13am
December,18,2013,Mindreader - Original Mix,Virtual Riot,8:04am
December,18,2013,Hush Now (501 Remix),L.A.O.S,7:59am
December,18,2013,Elements - Edx 5un5hine Remix,Dinka,2:05am
December,17,2013,Elements - Edx 5un5hine Remix,Dinka,5:03pm
December,17,2013,Tundra,Jacuzzi,4:54pm
December,17,2013,Tundra,Jacuzzi,1:01pm
December,17,2013,Tundra,Jacuzzi,8:26am
December,17,2013,Mindreader - Original Mix,Virtual Riot,8:12am
December,17,2013,Never Gonna Die - Original Mix,Virtual Riot,8:08am
December,16,2013,Never Gonna Die - Original Mix,Virtual Riot,9:32pm
December,16,2013,Never Gonna Die - Original Mix,Virtual Riot,5:26pm
December,16,2013,Mindreader - Original Mix,Virtual Riot,5:25pm
December,16,2013,Mindreader - Original Mix,Virtual Riot,5:18pm
December,16,2013,Never Gonna Die - Original Mix,Virtual Riot,5:08pm
December,16,2013,When The Lights Go Out,Bombs and Bottles,8:19am
December,16,2013,PreGame,Bombs and Bottles,8:15am
December,16,2013,Like Satellites (Radio Edit),Manufactured Superstars,8:11am
December,16,2013,Follow You Down,Zedd,8:09am
December,16,2013,Youth - Adventure Club Remix,Foxes,8:05am
December,16,2013,Sweater Weather,The Neighbourhood,8:02am
December,16,2013,Wires,The Neighbourhood,7:59am
December,16,2013,Let It Go,The Neighbourhood,7:55am
December,16,2013,Female Robbery,The Neighbourhood,7:52am
December,16,2013,Afraid,The Neighbourhood,7:48am
December,16,2013,Sweater Weather,The Neighbourhood,7:44am
December,16,2013,Afterglow,Phaeleh,1:02am
December,16,2013,Breathe in Air,Phaeleh,1:02am
December,16,2013,Let You Fall - Radio Cut,Stoneface & Terminal with Amurai,1:02am
December,16,2013,Happy,Medina,1:01am
December,16,2013,Strangers,Seven Lions,12:58am
December,16,2013,Days to Come,Seven Lions,12:53am
December,16,2013,Black Gold - Original Mix,Apashe,12:48am
December,16,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,12:47am
December,15,2013,In the Summer,Finish Ticket,10:24pm
December,15,2013,Tranquilize,Finish Ticket,10:20pm
December,15,2013,Catch You On My Way Out,Finish Ticket,10:16pm
December,15,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,8:38pm
December,15,2013,Mañana Es Para Siempre,Alejandro Fernandez,8:34pm
December,15,2013,Si no te hubieras ido,Maná,8:08pm
December,15,2013,Ice,LIGHTS,8:06pm
December,15,2013,Breathe in Air,Phaeleh,9:15am
December,15,2013,Let You Fall - Radio Cut,Stoneface & Terminal with Amurai,9:12am
December,15,2013,Happy,Medina,9:08am
December,15,2013,Strangers,Seven Lions,9:05am
December,15,2013,Days to Come,Seven Lions,9:00am
December,15,2013,Do I See Color (Big Gigantic Remix),Adventure Club,9:58am
December,15,2013,Need Your Heart (Minnesota Remix) [feat. Kai],Adventure Club,9:50am
December,15,2013,Youth - Adventure Club Remix,Foxes,9:46am
December,15,2013,Strangers,Seven Lions,9:46am
December,15,2013,Days to Come,Seven Lions,9:41am
December,15,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,9:36am
December,15,2013,Let You Fall - Radio Cut,Stoneface & Terminal with Amurai,1:26am
December,15,2013,Happy,Medina,1:22am
December,15,2013,Strangers,Seven Lions,1:17am
December,15,2013,Days to Come,Seven Lions,1:12am
December,15,2013,Youth - Adventure Club Remix,Foxes,12:13am
December,15,2013,Do I See Color (Big Gigantic Remix),Adventure Club,12:01am
December,13,2013,Lullabies,Yuna,11:57pm
December,13,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,11:42pm
December,13,2013,Youth - Adventure Club Remix,Foxes,11:34pm
December,13,2013,Curtain Call,Jacuzzi,11:31pm
December,13,2013,Do I See Color (Big Gigantic Remix),Adventure Club,11:28pm
December,13,2013,Lullabies,Yuna,11:24pm
December,13,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,11:20pm
December,13,2013,Somewhere Only We Know,Keane,11:06pm
December,13,2013,Need Your Heart (Minnesota Remix) [feat. Kai],Adventure Club,10:49pm
December,13,2013,Somewhere Only We Know,Keane,10:45pm
December,13,2013,Operate,ASTR,10:45pm
December,13,2013,Youth - Adventure Club Remix,Foxes,10:40pm
December,13,2013,The Great Divide - Radio Edit,Velvetine,10:16am
December,13,2013,The Great Divide - Seven Lions Remix,Velvetine,8:31am
December,13,2013,Sleepless - Xilent Remix,Excision,8:26am
December,13,2013,Touch Sound,Xilent,8:22am
December,13,2013,Figure 8,Ellie Goulding,8:17am
December,13,2013,Afterglow,Phaeleh,8:16am
December,13,2013,Strangers,Seven Lions,8:13am
December,13,2013,Days to Come,Seven Lions,8:08am
December,13,2013,Let You Fall - Banging Radio Edit,Stoneface & Terminal,8:04am
December,13,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,8:00am
December,13,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,8:00am
December,12,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,7:37pm
December,12,2013,Days to Come,Seven Lions,4:33pm
December,12,2013,Let You Fall - Banging Radio Edit,Stoneface & Terminal,4:29pm
December,12,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,4:25pm
December,12,2013,Retro City,Adventure Club,4:20pm
December,12,2013,Loose Ends,Jacuzzi,4:16pm
December,12,2013,Tundra,Jacuzzi,4:13pm
December,12,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,3:22pm
December,12,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,3:22pm
December,12,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,1:41pm
December,12,2013,Retro City,Adventure Club,1:36pm
December,12,2013,Loose Ends,Jacuzzi,1:32pm
December,12,2013,Tundra,Jacuzzi,1:29pm
December,12,2013,Touch Sound,Xilent,12:21pm
December,12,2013,Let You Fall - Banging Radio Edit,Stoneface & Terminal,12:21pm
December,12,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,12:17pm
December,12,2013,Loose Ends,Jacuzzi,12:09pm
December,12,2013,Sleepless - Xilent Remix,Excision,12:06pm
December,12,2013,Sleepless - Xilent Remix,Excision,8:49am
December,12,2013,Touch Sound,Xilent,8:46am
December,12,2013,All My Love - Xilent Remix,Fuzzy Logik,8:45am
December,12,2013,Hold You - Ratty Mix,Atb,8:45am
December,12,2013,Let You Fall - Banging Radio Edit,Stoneface & Terminal,8:45am
December,12,2013,Drop It - Original Mix,DMNDZ,8:37am
December,12,2013,Retro City,Adventure Club,7:28am
December,12,2013,Loose Ends,Jacuzzi,7:24am
December,12,2013,Tundra,Jacuzzi,7:21am
December,12,2013,Loose Ends,Jacuzzi,2:06am
December,12,2013,Tundra,Jacuzzi,2:03am
December,11,2013,Tundra,Jacuzzi,8:44pm
December,11,2013,Let You Fall - Banging Radio Edit,Stoneface & Terminal,8:44pm
December,11,2013,Loose Ends,Jacuzzi,8:44pm
December,11,2013,Loose Ends,Jacuzzi,12:10pm
December,11,2013,Tundra,Jacuzzi,12:07pm
December,11,2013,Drop It - Original Mix,DMNDZ,12:07pm
December,11,2013,Drop It - Original Mix,DMNDZ,11:45am
December,11,2013,Loose Ends,Jacuzzi,11:43am
December,11,2013,Tundra,Jacuzzi,11:40am
December,11,2013,Loose Ends,Jacuzzi,11:40am
December,10,2013,Loose Ends,Jacuzzi,9:47pm
December,10,2013,Tundra,Jacuzzi,9:43pm
December,10,2013,Won't Let You Go [ASOT 633] - Tritonal Club Mix,Armin van Buuren,9:42pm
December,10,2013,Blank Pages,The Album Leaf,3:21pm
December,10,2013,Wonder (feat. The Kite String Tangle),Adventure Club,3:13pm
December,10,2013,The Moon Is Falling Down,Crywolf,3:09pm
December,10,2013,Live for the Night - Xilent Radio Mix,Krewella,3:06pm
December,10,2013,Daybreak,Rogue,3:02pm
December,10,2013,For Once,Xilent feat. Skyflake,2:58pm
December,10,2013,Gravity,Xilent feat. Tali,2:54pm
December,10,2013,Come Back Down - Xilent Remix,Mediks,2:50pm
December,10,2013,The Great Divide - Seven Lions Remix,Velvetine,2:45pm
December,10,2013,Sleepless - Xilent Remix,Excision,2:40pm
December,10,2013,Touch Sound,Xilent,2:37pm
December,10,2013,Boss Wave - Teddy Killerz Remix,Xilent,2:36pm
December,10,2013,Tonight Is Forever,Bombs and Bottles,2:34pm
December,10,2013,Every Other Way - George Acosta Remix,BT featuring JES,2:26pm
December,10,2013,Encore,Digitalism,2:22pm
December,10,2013,Ice,LIGHTS,2:19pm
December,10,2013,Leaving You - Thomas Newson Radio Edit,Audien,2:16pm
December,10,2013,Touch Sound,Xilent,2:12pm
December,10,2013,Lights (5vel Remix),Aruna,2:10pm
December,10,2013,Islands,The xx,2:08pm
December,10,2013,Wonder (feat. The Kite String Tangle),Adventure Club,2:03pm
December,10,2013,All You Took,ATB feat. Amurai,1:57pm
December,10,2013,Wanna Fly?,DJ Encore,1:54pm
December,10,2013,Cuando Pase el Temblor,Soda Stereo,1:50pm
December,10,2013,Memory Gospel,Moby,1:44pm
December,10,2013,Days to Come,Seven Lions,1:39pm
December,10,2013,Change The World - Estiva Remix,Daniel Kandi,1:32pm
December,10,2013,Afraid,The Neighbourhood,1:28pm
December,10,2013,Callisto - Radio Edit,Dash Berlin,1:25pm
December,10,2013,Elements - Edx 5un5hine Remix,Dinka,1:17pm
December,10,2013,Fashion Killa,A$AP Rocky,1:16pm
December,10,2013,Insert Generic Title - Daniel Kandi vs Dennis Pedersen Remix,Daniel Kandi,1:10pm
December,10,2013,Wonder (feat. The Kite String Tangle),Adventure Club,1:06pm
December,10,2013,Lies,Marina and The Diamonds,1:03pm
December,10,2013,Blank Pages,The Album Leaf,12:58pm
December,10,2013,Superhuman - Instrumental Mix,Virtual Riot,12:47pm
December,10,2013,Superhuman - Titchimoto Remix,Virtual Riot feat. Amba Shepherd,12:45pm
December,10,2013,Love & Light - Downtempo Mix,ATB presents Amurai,12:38pm
December,10,2013,She Wolf (Falling to Pieces) [feat. Sia],David Guetta,12:36pm
December,10,2013,Hey Baby - Mellygasm Mix,deadmau5,12:30pm
December,10,2013,Cyrus The Great,Aligator,12:25pm
December,10,2013,Wanna Fly?,DJ Encore,12:22pm
December,10,2013,Catch Me,DJ Encore,12:18pm
December,10,2013,Blank Pages,The Album Leaf,12:13pm
December,10,2013,Wonder (feat. The Kite String Tangle),Adventure Club,12:08pm
December,10,2013,Superheroes Anonymous Vol. 1,Adventure Club,12:08pm
December,10,2013,Superheroes Anonymous Vol. 1,Adventure Club,9:03am
December,10,2013,Rise & Fall (Krewella Remix) (feat. Krewella),Adventure Club,8:58am
December,10,2013,Collect Call (Adventure Club Dubstep Remix),Metric,8:53am
December,10,2013,Wonder (feat. The Kite String Tangle),Adventure Club,8:39am
December,10,2013,Falling,DJ Encore,8:37am
December,10,2013,Catch Me,DJ Encore,8:36am
December,10,2013,Happy,Medina,8:36am
December,10,2013,Strangers,Seven Lions,8:36am
December,10,2013,Strangers,Seven Lions,7:36am
December,10,2013,Days to Come,Seven Lions,7:31am
December,10,2013,Wanna Fly?,DJ Encore,7:28am
December,10,2013,Wanna Fly?,DJ Encore,7:24am
December,10,2013,If I Just Listened - Radio Edit,DNS Project,7:24am
December,10,2013,If I Just Listened - Radio Edit,DNS Project,2:26am
December,10,2013,Wanna Fly?,DJ Encore,2:23am
December,10,2013,Wanna Fly?,DJ Encore,2:19am
December,10,2013,Afterglow,Phaeleh,1:15am
December,10,2013,Promise,Ben Howard,1:08am
December,10,2013,Let You Fall - Radio Cut,Stoneface & Terminal with Amurai,1:05am
December,10,2013,The Great Divide - Radio Edit,Velvetine,12:57am
December,10,2013,Instant Crush,Daft Punk,12:52am
December,10,2013,Let It Go,The Neighbourhood,12:48am
December,10,2013,Figure 8,Ellie Goulding,12:44am
December,10,2013,Time Passes,Lessov,12:38am
December,10,2013,Lies,Marina and The Diamonds,12:35am
December,10,2013,Breathe,Telepopmusik,12:22am
December,9,2013,Instant Crush,Daft Punk,11:49pm
December,9,2013,Change The World - Estiva Remix,Daniel Kandi,11:47pm
December,9,2013,Afraid,The Neighbourhood,11:43pm
December,9,2013,Breathe,Telepopmusik,11:42pm
December,9,2013,Lights (5vel Remix),Aruna,11:36pm
December,9,2013,The Great Divide - Radio Edit,Velvetine,11:32pm
December,9,2013,Wanna Fly?,DJ Encore,11:27pm
December,9,2013,Wanna Fly?,DJ Encore,11:23pm
December,9,2013,Strangers,Seven Lions,10:02pm
December,9,2013,Sweater Weather,The Neighbourhood,9:36pm
December,9,2013,Lies,Marina and The Diamonds,9:32pm
December,9,2013,Promise,Ben Howard,9:32pm
December,9,2013,Figure 8,Ellie Goulding,9:14pm
December,9,2013,Memory Gospel,Moby,8:12pm
December,9,2013,All You Took,ATB feat. Amurai,8:06pm
December,9,2013,Open Your Eyes,DJ Encore,8:00pm
December,9,2013,Walking In The Sky,DJ Encore,7:56pm
December,9,2013,Falling,DJ Encore,7:54pm
December,9,2013,High On Life,DJ Encore,7:15pm
December,9,2013,High On Life,DJ Encore,7:10pm
December,9,2013,I See Right Through To You,DJ Encore,7:06pm
December,9,2013,You Can Walk On Water,DJ Encore,7:04pm
December,9,2013,Catch Me,DJ Encore,7:04pm
December,9,2013,Point Of No Return,DJ Encore,7:03pm
December,9,2013,Catch Me,DJ Encore,6:59pm
December,9,2013,Nobody Wants To Try,DJ Encore,6:56pm
December,9,2013,On Your Own,DJ Encore,6:51pm
December,9,2013,Follow In Your Footsteps,DJ Encore,6:47pm
December,9,2013,Wanna Fly?,DJ Encore,6:42pm
December,9,2013,Point Of No Return,DJ Encore,6:39pm
December,9,2013,Catch Me,DJ Encore,6:28pm
December,9,2013,Nobody Wants To Try,DJ Encore,6:24pm
December,9,2013,On Your Own,DJ Encore,6:16pm
December,9,2013,Follow In Your Footsteps,DJ Encore,6:13pm
December,9,2013,On Your Own,DJ Encore,6:11pm
December,9,2013,Follow In Your Footsteps,DJ Encore,6:07pm
December,9,2013,Wanna Fly?,DJ Encore,6:03pm
December,9,2013,Falling,DJ Encore,6:01pm
December,9,2013,Sweeter Than Beauty,DJ Encore,5:55pm
December,9,2013,Changes,DJ Encore,5:54pm
December,9,2013,You Make Me Feel Alive,DJ Encore,5:51pm
December,9,2013,Point Of No Return,DJ Encore,5:46pm
December,9,2013,Catch Me,DJ Encore,5:43pm
December,9,2013,Changes,DJ Encore,5:41pm
December,9,2013,Wanna Fly?,DJ Encore,5:40pm
December,9,2013,Falling,DJ Encore,5:37pm
December,9,2013,Sweeter Than Beauty,DJ Encore,5:32pm
December,9,2013,You Can Walk On Water,DJ Encore,5:29pm
December,9,2013,Whoops,12th Planet & Mayhem feat. Pennybirdrabbit,5:27pm
December,9,2013,Liquid Sky,DJ Encore,5:17pm
